"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
904,"Wien 4.,Wieden <90401>",2022,33007,1417,15663,0.0816997232472325,15.3,43735.9703020113,5249.48604757513,0,"AT130",56500,14,1.775,18595.4929577465,7776,10,10,4,2,221,105,27,10,20,101,"urban",3000,11,4,2022,76.9851710117197,0,0,2,0,0
905,"Wien 5.,Margareten <90501>",2022,53731,3465,23830,0.115882411959466,14.6,34556.1866373006,5808.38405569244,0,"AT130",56500,13,2.01,26731.8407960199,5440,18,18,2,1,156,86,19,5,13,101,"urban",3000,12,3,2022,81.3802559414991,0,0,16,0,0
906,"Wien 6.,Mariahilf <90601>",2022,30958,1310,13817,0.0764249460358205,15.9,40667.0706567876,5922.53585714444,0,"AT130",56500,21,1.45,21350.3448275862,5822,15,15,3,3,242,134,30,6,22,101,"urban",3000,13,5,2022,77.4552429667519,1,0,1,0,0
907,"Wien 7.,Neubau <90701>",2022,31326,1007,13324,0.0559382290856571,15.8,43721.6705381787,5085.06050078958,0,"AT130",56500,18,1.6,19578.75,6336,15,15,6,4,233,159,34,3,22,101,"urban",3000,12,3,2022,80.5667758659076,0,0,1,0,0
908,"Wien 8.,Josefstadt <90801>",2022,24189,758,11480,0.0596427728381462,15.4,44078.9154024579,6001.48393485713,0,"AT130",56500,12,1.09,22191.7431192661,7697,18,18,1,2,143,60,15,1,12,101,"urban",3000,11,4,2022,74.163145921352,0,0,0,0,0
909,"Wien 9.,Alsergrund <90901>",2022,41382,1380,19416,0.0628243649276154,15.3,42192.5839049757,5510.27408052947,0,"AT130",56500,21,2.96,13980.4054054054,6234,30,30,4,5,228,126,24,13,24,101,"urban",3000,11,4,2022,78.9053268421799,0,0,3,0,0
910,"Wien 10.,Favoriten <91001>",2022,212255,16939,104102,0.156620713248823,14.9,31219.102909865,3973.86260540746,0.00051408552531546,"AT130",56500,62,31.82,6670.49025769956,4211,30,30,9,15,407,247,91,25,71,101,"urban",856.8,1,1,2022,82.0198007053944,192,33,58,0.122502172024327,0.366348103098755
911,"Wien 11.,Simmering <91101>",2022,106078,7650,51037,0.138987300376083,14.6,32844.1743272433,3692.46213021536,0.00138771557256842,"AT130",56500,34,23.25,4562.49462365591,4893,35,35,10,3,183,118,48,11,27,101,"urban",867.6,10,2,2022,82.5117360067142,108,2,39,0.163674321503132,0.193319415448852
912,"Wien 12.,Meidling <91201>",2022,97909,7473,46051,0.144105056114775,14.1,33016.9656675323,4471.73329919158,0,"AT130",56500,29,8.1,12087.5308641975,5241,30,30,4,3,241,175,57,13,29,101,"urban",1122.9,8,1,2022,79.7175776310243,76,16,32,0.100719424460432,0.100719424460432
913,"Wien 13.,Hietzing <91301>",2022,53959,1877,28220,0.072924356035588,15.1,50224.8760491257,2235.85351241555,0,"AT130",56500,24,37.71,1430.89366215858,6159,40,40,4,2,111,64,19,5,14,101,"urban",1294.6,1,0,2022,55.7327080890973,107,18,15,0.625989625989626,0.625989625989626
914,"Wien 14.,Penzing <91401>",2022,92989,4893,45929,0.103973650658734,14,39730.9578610646,3467.68533551583,0.00073914236244007,"AT130",56500,31,33.76,2754.413507109,6003,40,40,1,3,168,72,25,2,14,101,"urban",999.7,0,0,2022,67.5685508180363,223,21,87,0.567246616956642,0.567246616956642
915,"Wien 15.,Rudolfsheim-F nfhaus <91501>",2022,75635,5509,33060,0.129395184967704,13.9,30682.1999465148,7364.46321465402,0,"AT130",56500,33,3.91,19343.989769821,4460,18,18,4,2,229,114,38,5,23,101,"urban",3000,9,1,2022,83.0103120042306,16,0,17,0.113259668508287,0.113259668508287
916,"Wien 16.,Ottakring <91601>",2022,101638,6709,47104,0.123024168408699,13.8,32774.8458984076,4542.24622419374,0,"AT130",56500,24,8.67,11722.952710496,4843,35,35,2,4,182,102,23,2,16,101,"urban",953.5,9,3,2022,78.8110099654101,52,5,12,0.253333333333333,0.253333333333333
917,"Wien 17.,Hernals <91701>",2022,56014,3047,25770,0.100747255654014,13.8,35415.6145554146,3902.70607753599,4.12976071911094e-06,"AT130",56500,16,11.39,4917.82265144864,5737,40,40,3,0,106,53,8,2,6,101,"urban",1154.7,10,4,2022,72.6110892646481,84,10,20,0.464780252859723,0.464780252859723
918,"Wien 18.,W hring <91801>",2022,50865,1949,24182,0.0730427613086984,14.6,44633.1201658375,3264.0548625702,0,"AT130",56500,31,6.34,8022.87066246057,5937,30,30,2,1,121,41,6,2,4,101,"urban",1545.8,9,3,2022,67.8811865820771,24,12,14,0.101419878296146,0.101419878296146
919,"Wien 19.,D bling <91901>",2022,73873,3013,39162,0.0868024545533116,15.6,46800.3804162772,5277.59171316086,0.0166273909746252,"AT130",56500,28,24.94,2962.02886928629,6901,40,40,3,5,181,120,29,13,17,101,"urban",1912.4,6,4,2022,65.6668217157286,120,23,24,0.208192771084337,0.208192771084337
920,"Wien 20.,Brigittenau <92001>",2022,84471,6530,40636,0.14896771985856,15.1,30749.9199614625,4449.85734602193,0.124929905019621,"AT130",56500,22,5.71,14793.5201401051,4255,25,25,2,1,156,84,35,11,26,101,"urban",3000,12,4,2022,82.6355460586564,7,0,26,0,0
921,"Wien 21.,Floridsdorf <92101>",2022,178185,11240,88424,0.125221421329976,14.6,35938.4691331238,3484.41830946343,0.0211988234628005,"AT130",56500,69,44.44,4009.56345634563,4745,45,45,1,9,282,172,40,17,38,101,"urban",782.9,4,3,2022,75.6985679357318,535,27,105,0.0545609548167093,0.210997442455243
922,"Wien 22.,Donaustadt <92201>",2022,203823,9672,99792,0.0929722871067278,16,39990.8971244777,3240.26845695337,0.0163437745491136,"AT130",56500,72,102.29,1992.59947208916,6087,35,35,12,3,335,234,77,17,46,101,"urban",908.3,1,0,2022,69.580460995428,832,166,287,0.200136213271064,0.453590192644483
923,"Wien 23.,Liesing <92301>",2022,115174,5290,56994,0.0909247163973874,14.6,41046.4590850657,3024.6232205269,0.0145341479585836,"AT130",56500,44,32.06,3592.45165315034,5091,45,45,10,3,448,290,98,21,84,101,"urban",841.1,0,0,2022,67.8448297877774,241,30,108,0.180879956545356,0.243889190657251
